一,yi1
哭,ku1
唱歌,chang4 ge1
商店,shang1 dian4
啊,a5
啤酒,pi2 jiu3
喂,wei4
喜欢,xi3 huan5
喝,he1
四,si4
回,hui2
回答,hui2 da2
因为,yin1 wei4
国家,guo2 jia1
图书馆,tu2 shu1 guan3
在,zai4
地,de5
地图,di4 tu2
地方,di4 fang1
地铁,di4 tie3
坏,huai4
坐,zuo4
块,kuai4
城市,cheng2 shi4
声音,sheng1 yin1
复习,fu4 xi2
夏,xia4
外,wai4
多,duo1
多么,duo1 me5
多少,duo1 shao3
大,da4
大家,da4 jia1
天气,tian1 qi4
太,tai4
太阳,tai4 yang2
头发,tou2 fa5
奇怪,qi2 guai4
女人,nv3 ren2
女儿,nv3 er2
奶奶,nai3 nai5
她,ta1
好,hao3
好吃,hao3 chi1
如果,ru2 guo3
妈妈,ma1 ma5
妹妹,mei4 mei5
妻子,qi1 zi5
姐姐,jie3 jie5
姓,xing4
字,zi4
字典,zi4 dian3
季节,ji4 jie2
学习,xue2 xi2
学校,xue2 xiao4
学生,xue2 sheng5
孩子,hai2 zi5
它,ta1
安静,an1 jing4
完,wan2
完成,wan2 cheng2
客人,ke4 ren2
害怕,hai4 pa4
家,jia1
容易,rong2 yi4
宾馆,bin1 guan3
对,dui4
对不起,dui4 bu5 qi3
小,xiao3
小姐,xiao3 jie5
小心,xiao3 xin1
小时,xiao3 shi2
少,shao3
就,jiu4
层,ceng2
岁,sui4
工作,gong1 zuo4
左边,zuo3 bian5
差,cha4
已经,yi3 jing1
希望,xi1 wang4
带,dai4
帮助,bang1 zhu4
帮忙,bang1 mang2
帽子,mao4 zi5
干净,gan1 jing4
年,nian2
年级,nian2 ji2
年轻,nian2 qing1
应该,ying1 gai1
开,kai1
开始,kai1 shi3
弟弟,di4 di5
张,zhang1
当然,dang1 ran2
影响,ying3 xiang3
很,hen3
得,de5
必须,bi4 xu1
忘记,wang4 ji4
忙,mang2
快,kuai4
快乐,kuai4 le4
怎么,zen3 me5
怎么样,zen3 me5 yang4
总是,zong3 shi4
您,nin2
想,xiang3
意思,yi4 si5
感冒,gan3 mao4
愿意,yuan4 yi4
慢,man4
懂,dong3
成绩,cheng2 ji4
我,wo3
我们,wo3 men5
或者,huo4 zhe3
房间,fang2 jian1
所以,suo3 yi3
手机,shou3 ji1
手表,shou3 biao3
才,cai2
打扫,da3 sao3
打电话,da3 dian4 hua4
打算,da3 suan4
打篮球,da3 lan2 qiu2
找,zhao3
把,ba3
护照,hu4 zhao4
报纸,bao4 zhi3
担心,dan1 xin1
拿,na2
换,huan4
接,jie1
提高,ti2 gao1
搬,ban1
放,fang4
放心,fang4 xin1
故事,gu4 shi4
教,jiao1
教室,jiao4 shi4
敢,gan3
数学,shu4 xue2
文化,wen2 hua4
新,xin1
新闻,xin1 wen2
新鲜,xin1 xian1
方便,fang1 bian4
旁边,pang2 bian1
旅游,lv3 you2
日,ri4
旧,jiu4
早上,zao3 shang5
时候,shi2 hou5
时间,shi2 jian1
明天,ming2 tian1
明白,ming2 bai5
星期,xing1 qi1
春,chun1
昨天,zuo2 tian1
是,shi4
晚上,wan3 shang5
普通话,pu3 tong1 hua4
晴,qing2
更,geng1
最,zui4
最近,zui4 jin4
月,yue4
月亮,yue4 liang5
有,you3
有名,you3 ming2
朋友,peng2 you5
服务员,fu2 wu4 yuan2
本,ben3
机会,ji1 hui4
机场,ji1 chang3
条,tiao2
来,lai2
杯子,bei1 zi5
极,ji2
果汁,guo3 zhi1
树,shu4
校长,xiao4 zhang3
根据,gen1 ju4
桌子,zhuo1 zi5
检查,jian3 cha2
椅子,yi3 zi5
楼,lou2
次,ci4
欢迎,huan1 ying2
正在,zheng4 zai4
段,duan4
每,mei3
比,bi3 
比赛,bi3 sai4
比较,bi3 jiao4
水,shui3
水平,shui3 ping2
水果,shui3 guo3
汉语,Han4 yu3
没,mei2
没关系,mei2 guan1 xi5
河,he2
注意,zhu4 yi4
洗,xi3
洗手间,xi3 shou3 jian1
洗澡,xi3 zao3
清楚,qing1 chu5
渴,ke3
游戏,you2 xi4
游泳,you2 yong3
满意,man3 yi4
漂亮,piao4 liang5
火车站,huo3 che1 zhan4
灯,deng1
点,dian3
热,re4
热情 ,re4 qing2
然后,ran2 hou4
照片,zhao4 pian4
照相机,zhao4 xiang4 ji1
照顾,zhao4 gu5
熊猫,xiong2 mao1
爬山,pa2 shan1
爱,ai4
爱好,ai4 hao4
爷爷,ye2 ye5
爸爸,ba4 ba5
牛奶,niu2 nai3
特别,te4 bie2
狗,gou3
猫,mao1
玩,wan2
环境,huan2 jing4
现在,xian4 zai4
班,ban1
甜,tian2
生日,sheng1 ri4
生气,sheng1 qi4
生病,sheng1 bing4
用,yong4
电子邮件,dian4 zi3 you2 jian4
电影,dian4 ying3
电梯,dian4 ti1
电脑,dian4 nao3
电视,dian4 shi4
男人,nan2 ren2
画,hua4
疼,teng2
瘦,shou4
白,bai2
百,bai3
的,de5
盘子,pan2 zi5
相信,xiang1 xin4
相同,xiang1 tong2
看,kan4
看见,kan4 jian4
真,zhen1
眼睛,yan3 jing5
眼镜,yan3 jing4
着,zhe5
着急,zhao2 ji2
睡觉,shui4 jiao4
知道,zhi1 dao5
短,duan3
矮,ai3
碗,wan3
礼物,li3 wu4
祝,zhu4
票,piao4
离,li2
离开,li2 kai1
秋,qiu1
种,zhong3
空调,kong1 tiao2
穿,chuan1
突然,tu1 ran2
站,zhan4
笑,xiao4
第一,di4 yi1
等,deng3
筷子,kuai4 zi5
简单,jian3 dan1
米,mi3
米饭,mi3 fan4
糖,tang2
累,lei4
红,hong2
练习,lian4 xi2
终于,zhong1 yu2
经常,jing1 chang2
经理,jing1 li3
经过,jing1 guo4
结婚,jie2 hun1
结束,jie2 shu4
给,gei3
绿,lv4
羊肉,yang2 rou4
老,lao3
老师,lao3 shi1
考试,kao3 shi4
而且,er2 qie3
耳朵,er3 duo5
聪明,cong1 ming5
胖,pang4
能,neng2
脚,jiao3
脸,lian3
腿,tui3
自己,zi4 ji3
自行车,zi4 xing2 che1
舒服,shu1 fu5
船,chuan2
节日,jie2 ri4
节目,jie2 mu4
花,hua1
花园,hua1 yuan2
苹果,ping2 guo3
茶,cha2
草,cao3
药,yao4
菜,cai4
菜单,cai4 dan1
葡萄,pu2 tao5
蓝,lan2
虽然,sui1 ran2
蛋糕,dan4 gao1
行李箱,xing2 li5 xiang1
街道,jie1 dao4
衣服,yi1 fu5
表演,biao3 yan3
表示,biao3 shi4
衬衫,chen4 shan1
被,bei4
裙子,qun2 zi5
裤子,ku4 zi5
西,xi1
西瓜,xi1 gua1
要,yao4
要求,yao1 qiu2
见面,jian4 mian4
觉得,jue2 de5
角,jiao3
解决,jie3 jue2
认为,ren4 wei2
认真,ren4 zhen1
认识,ren4 shi5
让,rang4
记得,ji4 de5
讲,jiang3
词语,ci2 yu3
说话,shuo1 hua4
请,qing3
读,du2
课,ke4
谁,shei2
谢谢,xie4 xie5
贵,gui4
走,zou3
起床,qi3 chuang2
超市,chao1 shi4
越,yue4
跑步,pao3 bu4
跟,gen1
路,lu4
跳舞,tiao4 wu3
踢足球,ti1 zu2 qiu2
身体,shen1 ti3
辆,liang4
过,guo4
过去,guo4 qu5
运动,yun4 dong4
近,jin4
还,hai2
还,huan3
还是,hai2 shi4
这,zhe4
这儿,zhe4 r5
进,jin4
远,yuan3
迟到,chi2 dao4
送,song4
选择,xuan3 ze2
遇到,yu4 dao4
那,na4
那儿,na4 r5
邻居,lin2 ju1
都,dou1
里,li3
重要,zhong4 yao4
钱,qian2
铅笔,qian1 bi3
银行,yin2 hang2
错,cuo4
锻炼,duan4 lian4
长,chang2
长,zhang3
门,men2
问,wen4
问题,wen4 ti2
阴,yin1
阿姨,a1 yi2
附近,fu4 jin4
除了,chu2 le5
难,nan2
难过,nan2 guo4
雪,xue3
零,ling2
需要,xu1 yao4
非常,fei1 chang2
面包,mian4 bao1
面条,mian4 tiao2
鞋,xie2
音乐,yin1 yue4
题,ti2
颜色,yan2 se4
飞机,fei1 ji1
饭馆,fan4 guan3
饱,bao3
饿,e4
香蕉,xiang1 jiao1
马,ma3
马上,ma3 shang4
骑,qi2
高,gao1
高兴,gao1 xing4
鱼,yu2
鸟,niao3
鸡蛋,ji1 dan4
黄,huang2
黑,hei1
黑板,hei1 ban3
鼻子,bi2 zi5
